BLOCKID,COUNTYFP,DISTRICT
240010001002094,001,21-000
240010001002095,001,21-000
240010001002096,001,21-000
240010001002097,001,21-000
240010001002098,001,21-000
240010001002099,001,21-000
240010001002100,001,21-000
240010001002101,001,21-000
240010001002102,001,21-000
240010001002103,001,21-000
240010001002104,001,21-000
240010001002105,001,21-000
240010001002106,001,21-000
240010001002107,001,21-000
240010001002108,001,21-000
240010001002109,001,21-000
240010001002110,001,21-000
240010001002111,001,21-000
240010001002112,001,21-000
240010001002113,001,21-000
240010001002114,001,21-000
240010001002115,001,21-000
240010001002116,001,21-000
240010001002117,001,21-000
240010001002118,001,21-000
240010001002119,001,21-000
240010001002120,001,21-000
240010001002121,001,21-000
240010001002122,001,21-000
240010001002123,001,21-000
240010001002124,001,21-000
240010001002125,001,21-000
240010001002126,001,21-000
240010001002127,001,21-000
240010001002128,001,21-000
240010001002129,001,03-000
240010001002130,001,21-000
240010001002131,001,21-000
240010001002132,001,21-000
240010001002133,001,21-000
240010001002134,001,21-000
240010001002135,001,21-000
240010001002136,001,21-000
240010001002137,001,21-000
240010001002138,001,21-000
240010001002139,001,21-000
240010001002140,001,21-000
240010001002141,001,21-000
240010001002142,001,21-000
240010001002143,001,21-000
240010001002144,001,21-000
240010001002145,001,03-000
240010001002146,001,03-000
240010001002147,001,03-000
240010001002148,001,03-000
240010001002149,001,03-000
240010001002150,001,03-000
240010001002151,001,03-000
240010001002152,001,03-000
240010001002153,001,03-000
240010001002154,001,03-000
240010001002155,001,03-000
240010001002156,001,03-000
240010001002157,001,03-000
240010001002158,001,03-000
240010001002159,001,03-000
240010001002160,001,03-000
240010001002161,001,03-000
240010001002162,001,03-000
240010001002163,001,03-000
240010001002164,001,03-000
240010001002165,001,03-000
240010001002166,001,03-000
240010001002167,001,03-000
240010001002168,001,03-000
240010001002169,001,03-000
240010001002170,001,03-000
240010001002171,001,03-000
240010001002172,001,03-000
240010001002173,001,03-000
240010001002174,001,03-000
240010001002175,001,03-000
240010001002176,001,03-000
240010001002177,001,03-000
240010001002178,001,03-000
240010001002179,001,03-000
240010001002180,001,03-000
240010001002181,001,03-000
240010001002182,001,03-000
240010001002183,001,03-000
240010001002184,001,03-000
240010001002185,001,03-000
240010001002186,001,03-000
240010001002187,001,03-000
240010001002188,001,03-000
240010001002189,001,03-000
240010001002190,001,03-000
240010001002191,001,03-000
240010001002192,001,03-000
240010001002193,001,03-000
240010001002194,001,03-000
240010001002195,001,03-000
240010001002196,001,03-000
240010001002197,001,03-000
240010001002198,001,03-000
240010001002199,001,03-000
240010001002200,001,03-000
240010001002201,001,03-000
240010001002202,001,03-000
240010001002203,001,03-000
240010001002204,001,03-000
240010001002205,001,03-000
240010001002206,001,03-000
240010001002207,001,03-000
240010001002208,001,03-000
240010001002209,001,03-000
240010001002210,001,03-000
240010001002211,001,03-000
240010001002212,001,03-000
240010001002213,001,03-000
240010001002214,001,03-000
240010001002215,001,03-000
240010001002216,001,03-000
240010001002217,001,03-000
240010001002218,001,03-000
240010001002219,001,21-000
240010001002220,001,03-000
240010001002221,001,21-000
240010001002222,001,21-000
240010001002223,001,21-000
240010001002224,001,21-000
240010001002225,001,03-000
240010001002226,001,21-000
240010001002227,001,21-000
240010001002228,001,03-000
240010001002229,001,03-000
240010001002230,001,21-000
240010001002231,001,03-000
240010001002232,001,03-000
240010001002233,001,03-000
240010001002234,001,03-000
240010001002235,001,03-000
240010001002236,001,03-000
240010001002237,001,03-000
240010001002238,001,03-000
240010001002239,001,03-000
240010001002240,001,03-000
240010001002241,001,03-000
240010001002242,001,03-000
240010001002243,001,03-000
240010001002244,001,03-000
240010001002245,001,03-000
240010001002246,001,03-000
240010001002247,001,03-000
240010001002248,001,03-000
240010001002249,001,03-000
240010001002250,001,03-000
240010001002251,001,03-000
240010001002252,001,03-000
240010001002253,001,03-000
240010001002254,001,03-000
240010001002255,001,03-000
240010001002256,001,03-000
240010001002257,001,03-000
240010001002258,001,03-000
240010001002259,001,03-000
240010001002260,001,03-000
240010001002261,001,03-000
240010001002262,001,03-000
240010001002263,001,03-000
240010001002264,001,03-000
240010001002265,001,03-000
240010001002266,001,03-000
240010001002267,001,03-000
240010001002268,001,03-000
240010001002269,001,03-000
240010001002270,001,03-000
240010001002271,001,03-000
240010001002272,001,03-000
240010001002273,001,21-000
240010001002274,001,21-000
240010001002275,001,21-000
240010001002276,001,21-000
240010001002277,001,03-000
240010001002278,001,03-000
240010001002279,001,03-000
240010001002280,001,03-000
240010001002281,001,03-000
240010001002282,001,03-000
240010001002283,001,03-000
240010001002284,001,03-000
240010001002285,001,03-000
240010001002286,001,03-000
240010001002287,001,03-000
240010001002288,001,03-000
240010001002289,001,03-000
240010001002290,001,03-000
240010001002291,001,03-000
240010001002292,001,03-000
240010001002293,001,03-000
240010001002294,001,03-000
240010001002295,001,03-000
240010001002296,001,03-000
240010001002297,001,03-000
240010001002298,001,03-000
240010001002299,001,01-000
240010001002300,001,01-000
240010001002301,001,03-000
240010001002302,001,03-000
240010001002303,001,03-000
240010001002304,001,03-000
240010001002305,001,03-000
240010001002306,001,03-000
240010001002307,001,03-000
240010001002308,001,03-000
240010001002309,001,03-000
240010001002310,001,03-000
240010001002311,001,03-000
240010001002312,001,01-000
240010001002313,001,01-000
240010001002314,001,01-000
240010001002315,001,01-000
240010001002316,001,01-000
240010001002317,001,01-000
240010001002318,001,01-000
240010001002319,001,03-000
240010001002320,001,01-000
240010001002321,001,01-000
240010001002322,001,01-000
240010001002323,001,01-000
240010001002324,001,01-000
240010001002325,001,01-000
240010001002326,001,01-000
240010001002327,001,01-000
240010001002328,001,01-000
240010001002329,001,01-000
240010001002330,001,01-000
240010001002331,001,01-000
240010001002332,001,03-000
240010001002333,001,03-000
240010001002334,001,03-000
240010001002335,001,03-000
240010001002336,001,03-000
240010001002337,001,03-000
240010001002338,001,03-000
240010001002339,001,03-000
240010001002340,001,01-000
240010001002341,001,03-000
240010001002342,001,03-000
240010001002343,001,03-000
240010001002344,001,03-000
240010001002345,001,03-000
240010001002346,001,03-000
240010001002347,001,03-000
240010001002348,001,03-000
240010001002349,001,03-000
240010001002350,001,03-000
240010001002351,001,03-000
240010001002352,001,03-000
240010001002353,001,03-000
240010001002354,001,03-000
240010001002355,001,03-000
240010001002356,001,03-000
240010001002357,001,03-000
240010001002358,001,03-000
240010001002359,001,03-000
240010001002360,001,03-000
240010001002361,001,03-000
240010001002362,001,03-000
240010001002363,001,03-000
240010001002364,001,03-000
240010001002365,001,03-000
240010001002366,001,03-000
240010001002367,001,03-000
240010001002368,001,03-000
240010001002369,001,03-000
240010001002370,001,21-000
240010001002371,001,03-000
240010001002372,001,03-000
240010001002373,001,03-000
240010001002374,001,03-000
240010001002375,001,03-000
240010001002376,001,03-000
240010001002377,001,01-000
240010001002378,001,21-000
240010001002379,001,03-000
240010001002380,001,03-000
240010001002381,001,03-000
240010001002382,001,03-000
240010001002383,001,03-000
240010001002384,001,21-000
240010001002385,001,21-000
240010001002386,001,03-000
240010001002387,001,03-000
240010001002388,001,03-000
240010001002389,001,03-000
240010001002390,001,03-000
240010001002391,001,03-000
240010001002392,001,03-000
240010001002393,001,21-000
240010001003000,001,02-000
240010001003001,001,02-000
240010001003002,001,02-000
240010001003003,001,02-000
240010001003004,001,02-000
240010001003005,001,02-000
240010001003006,001,02-000
240010001003007,001,02-000
240010001003008,001,02-000
240010001003009,001,02-000
240010001003010,001,02-000
240010001003011,001,02-000
240010001003012,001,02-000
240010001003013,001,02-000
240010001003014,001,02-000
240010001003015,001,02-000
240010001003016,001,02-000
240010001003017,001,02-000
240010001003018,001,02-000
240010001003019,001,02-000
240010001003020,001,02-000
240010001003021,001,02-000
240010001003022,001,02-000
240010001003023,001,02-000
240010001003024,001,02-000
240010001003025,001,02-000
240010001003026,001,02-000
240010001003027,001,02-000
240010001003028,001,02-000
240010001003029,001,02-000
240010001003030,001,02-000
240010001003031,001,02-000
240010001003032,001,02-000
240010001003033,001,02-000
240010001003034,001,02-000
240010001003035,001,02-000
240010001003036,001,02-000
240010001003037,001,02-000
240010001003038,001,02-000
240010001003039,001,02-000
240010001003040,001,02-000
240010001003041,001,02-000
240010001003042,001,02-000
240010001003043,001,02-000
240010001003044,001,02-000
240010001003045,001,02-000
240010001003046,001,02-000
240010001003047,001,02-000
240010001003048,001,02-000
240010001003049,001,02-000
240010001003050,001,02-000
240010001003051,001,02-000
240010001003052,001,02-000
240010001003053,001,02-000
240010001003054,001,02-000
240010001003055,001,02-000
240010001003056,001,02-000
240010001003057,001,02-000
240010001003058,001,02-000
240010001003059,001,02-000
240010001003060,001,02-000
240010001003061,001,02-000
240010001003062,001,02-000
240010001003063,001,02-000
240010001003064,001,02-000
240010001003065,001,02-000
240010001003066,001,02-000
240010001003067,001,02-000
240010001003068,001,02-000
240010001003069,001,02-000
240010001003070,001,02-000
240010001003071,001,02-000
240010001003072,001,02-000
240010001003073,001,02-000
240010001003074,001,02-000
240010001003075,001,02-000
240010001003076,001,02-000
240010001003077,001,02-000
240010001003078,001,02-000
240010001003079,001,02-000
240010001003080,001,02-000
240010001003081,001,02-000
240010001003082,001,02-000
240010001003083,001,02-000
240010001003084,001,02-000
240010001003085,001,02-000
240010001003086,001,02-000
240010001003087,001,02-000
240010001003088,001,02-000
240010001003089,001,02-000
240010001003090,001,02-000
240010001003091,001,02-000
240010001003092,001,02-000
240010001003093,001,02-000
240010001003094,001,02-000
240010001003095,001,02-000
240010001003096,001,02-000
240010001003097,001,02-000
240010001003098,001,02-000
240010001003099,001,02-000
240010001003100,001,02-000
240010001003101,001,02-000
240010001003102,001,02-000
240010001003103,001,02-000
240010001003104,001,02-000
240010001003105,001,02-000
240010001003106,001,02-000
240010001003107,001,02-000
240010001003108,001,02-000
240010001003109,001,02-000
240010001003110,001,02-000
240010001003111,001,02-000
240010001003112,001,02-000
240010001003113,001,02-000
240010001003114,001,02-000
240010001003115,001,02-000
240010001003116,001,02-000
240010001003117,001,02-000
240010001003118,001,02-000
240010001003119,001,02-000
240010001003120,001,02-000
240010001003121,001,02-000
240010001003122,001,02-000
240010001003123,001,02-000
240010001003124,001,02-000
240010001003125,001,02-000
240010001003126,001,02-000
240010001003127,001,02-000
240010001003128,001,02-000
240010001003129,001,02-000
240010001003130,001,02-000
240010001003131,001,02-000
240010001003132,001,02-000
240010001003133,001,02-000
240010001003134,001,02-000
240010001003135,001,02-000
240010001003136,001,02-000
240010001003137,001,02-000
240010001003138,001,02-000
240010001003139,001,02-000
240010001003140,001,02-000
240010001003141,001,02-000
240010001003142,001,02-000
240010001003143,001,02-000
240010001003144,001,02-000
240010001003145,001,02-000
240010001003146,001,02-000
240010001003147,001,02-000
240010001003148,001,02-000
240010001003149,001,02-000
240010001003150,001,02-000
240010001003151,001,02-000
240010001003152,001,02-000
240010001003153,001,02-000
240010001003154,001,02-000
240010001003155,001,02-000
240010001003156,001,02-000
240010001003157,001,02-000
240010001003158,001,02-000
240010001003159,001,02-000
240010001003160,001,02-000
240010001003161,001,02-000
240010001003162,001,02-000
240010001003163,001,02-000
240010001003164,001,02-000
240010001003165,001,02-000
240010001003166,001,02-000
240010001003167,001,02-000
240010001003168,001,02-000
240010001003169,001,02-000
240010001003170,001,02-000
240010001003171,001,02-000
240010001003172,001,02-000
240010001003173,001,02-000
240010001003174,001,02-000
240010001003175,001,02-000
240010001003176,001,02-000
240010001003177,001,02-000
240010001003178,001,02-000
240010001003179,001,02-000
240010001003180,001,02-000
240010001003181,001,02-000
240010001003182,001,02-000
240010001003183,001,02-000
240010001003184,001,02-000
240010001003185,001,02-000
240010001003186,001,02-000
240010001003187,001,02-000
240010001003188,001,02-000
240010001003189,001,02-000
240010001003190,001,02-000
240010001003191,001,02-000
240010001003192,001,02-000
240010001003193,001,02-000
240010001003194,001,02-000
240010001003195,001,02-000
240010001003196,001,02-000
240010001003197,001,02-000
240010001003198,001,02-000
240010001003199,001,02-000
240010001003200,001,02-000
240010001003201,001,02-000
240010001003202,001,02-000
240010001003203,001,02-000
240010001003204,001,02-000
240010001003205,001,02-000
240010001003206,001,02-000
240010001003207,001,02-000
240010001003208,001,02-000
240010001003209,001,02-000
240010001003210,001,02-000
240010001003211,001,02-000
240010001003212,001,02-000
240010001003213,001,02-000
240010001003214,001,02-000
240010001003215,001,02-000
240010001003216,001,02-000
