BLOCKID,PLACEFP
540019655003152,
540019655003153,
540019655003154,
540019655003155,
540019655003156,
540019655003157,
540019655003158,
540019655003159,
540019655003160,
540019655003161,
540019655003162,
540019655003163,
540019655003164,
540019655003165,
540019655003166,
540019655003167,
540019655003168,
540019655003169,
540019655003170,
540019655003171,
540019655003172,
540019655003173,
540019655003174,
540019655003175,
540019655003176,
540019655003177,
540019655003178,
540019655003179,
540019655003180,
540019655003181,
540019655003182,
540019655003183,
540019655003184,
540019655003185,
540019655003186,
540019655003187,
540019655003188,
540019655003189,
540019655003190,
540019655003191,
540019655004000,
540019655004001,
540019655004002,
540019655004003,
540019655004004,
540019655004005,
540019655004006,
540019655004007,
540019655004008,
540019655004009,
540019655004010,
540019655004011,
540019655004012,
540019655004013,
540019655004014,
540019655004015,
540019655004016,
540019655004017,
540019655004018,
540019655004019,
540019655004020,
540019655004021,
540019655004022,
540019655004023,
540019655004024,
540019655004025,
540019655004026,
540019655004027,
540019655004028,
540019655004029,
540019655004030,
540019655004031,
540019655004032,
540019655004033,
540019655004034,
540019655004035,
540019655004036,
540019655004037,
540019655004038,
540019655004039,
540019655004040,
540019655004041,
540019655004042,
540019655004043,
540019655004044,
540019655004045,
540019655004046,
540019655004047,
540019655004048,
540019655004049,
540019655004050,
540019655004051,
540019655004052,
540019655004053,
540019655004054,
540019655004055,
540019655004056,
540019655004057,
540019655004058,
540019655004059,
540019655004060,
540019655004061,
540019655004062,
540019655004063,
540019655004064,
540019655004065,
540019655004066,
540019655004067,
540019655004068,
540019655004069,
540019655004070,
540019655004071,
540019655004072,
540019655004073,
540019655004074,
540019655004075,
540019655004076,
540019655004077,
540019655004078,
540019655004079,
540019655004080,
540019655004081,
540019655004082,
540019655004083,
540019655004084,
540019655004085,
540019655004086,
540019655004087,
540019655004088,
540019655004089,
540019655004090,
540019656001000,63292
540019656001001,
540019656001002,63292
540019656001003,
540019656001004,63292
540019656001005,
540019656001006,
540019656001007,63292
540019656001008,
540019656001009,63292
540019656001010,63292
540019656001011,63292
540019656001012,
540019656001013,
540019656001014,63292
540019656001015,63292
540019656001016,63292
540019656001017,63292
540019656001018,
540019656001019,
540019656001020,
540019656001021,
540019656001022,
540019656001023,
540019656001024,
540019656001025,
540019656001026,63292
540019656001027,63292
540019656001028,63292
540019656001029,63292
540019656001030,63292
540019656001031,63292
